Code,Name
U+1F600,grinning face
U+1F603,grinning face with big eyes
U+1F604,grinning face with smiling eyes
U+1F601,beaming face with smiling eyes
U+1F606,grinning squinting face
U+1F605,grinning face with sweat
U+1F923,rolling on the floor laughing
U+1F602,face with tears of joy
U+1F642,slightly smiling face
U+1F643,upside down face
U+1F609,winking face
U+1F60A,smiling face with smiling eyes
U+1F607,smiling face with halo
U+1F970,smiling face with hearts
U+1F60D,smiling face with heart eyes
U+1F929,star struck
U+1F618,face blowing a kiss
U+1F617,kissing face
U+263A,smiling face
U+1F61A,kissing face with closed eyes
U+1F619,kissing face with smiling eyes
U+1F972,  smiling face with tear
U+1F60B,face savoring food
U+1F61B,face with tongue
U+1F61C,winking face with tongue
U+1F92A,zany face
U+1F61D,squinting face with tongue
U+1F911,money mouth face
U+1F917,hugging face
U+1F92D,face with hand over mouth
U+1F92B,shushing face
U+1F914,thinking face
U+1F910,zipper mouth face
U+1F928,face with raised eyebrow
U+1F610,neutral face
U+1F611,expressionless face
U+1F636,face without mouth
U+1F60F,smirking face
U+1F612,unamused face
U+1F644,face with rolling eyes
U+1F62C,grimacing face
U+1F925,lying face
U+1F60C,relieved face
U+1F614,pensive face
U+1F62A,sleepy face
U+1F924,drooling face
U+1F634,sleeping face
U+1F637,face with medical mask
U+1F912,face with thermometer
U+1F915,face with head bandage
U+1F922,nauseated face
U+1F92E,face vomiting
U+1F927,sneezing face
U+1F975,hot face
U+1F976,cold face
U+1F974,woozy face
U+1F635,dizzy face
U+1F92F,exploding head
U+1F920,cowboy hat face
U+1F973,partying face
U+1F978,  disguised face
U+1F60E,smiling face with sunglasses
U+1F913,nerd face
U+1F9D0,face with monocle
U+1F615,confused face
U+1F61F,worried face
U+1F641,slightly frowning face
U+2639,frowning face
U+1F62E,face with open mouth
U+1F62F,hushed face
U+1F632,astonished face
U+1F633,flushed face
U+1F97A,pleading face
U+1F626,frowning face with open mouth
U+1F627,anguished face
U+1F628,fearful face
U+1F630,anxious face with sweat
U+1F625,sad but relieved face
U+1F622,crying face
U+1F62D,loudly crying face
U+1F631,face screaming in fear
U+1F616,confounded face
U+1F623,persevering face
U+1F61E,disappointed face
U+1F613,downcast face with sweat
U+1F629,weary face
U+1F62B,tired face
U+1F971,yawning face
U+1F624,face with steam from nose
U+1F621,pouting face
U+1F620,angry face
U+1F92C,face with symbols on mouth
U+1F608,smiling face with horns
U+1F47F,angry face with horns
U+1F480,skull
U+2620,pirate flag
U+1F4A9,pile of poo
U+1F921,clown face
U+1F479,ogre
U+1F47A,goblin
U+1F47B,ghost
U+1F47D,alien
U+1F47E,alien monster
U+1F916,robot
U+1F63A,grinning cat
U+1F638,grinning cat with smiling eyes
U+1F639,cat with tears of joy
U+1F63B,smiling cat with heart eyes
U+1F63C,cat with wry smile
U+1F63D,kissing cat
U+1F640,weary cat
U+1F63F,crying cat
U+1F63E,pouting cat
U+1F648,see no evil monkey
U+1F649,hear no evil monkey
U+1F64A,speak no evil monkey
U+1F48B,kiss  woman  woman
U+1F48C,love letter
U+1F498,heart with arrow
U+1F49D,heart with ribbon
U+1F496,sparkling heart
U+1F497,growing heart
U+1F493,beating heart
U+1F49E,revolving hearts
U+1F495,two hearts
U+1F49F,heart decoration
U+2763,heart exclamation
U+1F494,broken heart
U+2764,couple with heart  woman  woman
U+1F9E1,orange heart
U+1F49B,yellow heart
U+1F49A,green heart
U+1F499,blue heart
U+1F49C,purple heart
U+1F90E,brown heart
U+1F5A4,black heart
U+1F90D,white heart
U+1F4AF,hundred points
U+1F4A2,anger symbol
U+1F4A5,collision
U+1F4AB,dizzy
U+1F4A6,sweat droplets
U+1F4A8,dashing away
U+1F573,hole
U+1F4A3,bomb
U+1F4AC,speech balloon
U+1F441,eye
U+FE0F,pirate flag
U+200D,pirate flag
U+1F5E8,left speech bubble
U+1F5EF,right anger bubble
U+1F4AD,thought balloon
